timestamp,min_cpu,max_cpu,avg_cpu
2017-01-13 10:50:00,699537.1698980046,2186084.458995007,1190347.699912
2017-01-22 20:25:00,743778.6577669906,2316281.717929008,1301828.9507249836
2017-01-01 18:35:00,719786.124742012,2372710.0221589683,1286775.83308001
2017-01-23 20:10:00,694796.4883629896,2232952.30918902,1229709.427635996
2017-01-17 12:30:00,684861.6517470035,2138089.706936015,1172052.1869110027
2017-01-25 20:00:00,781500.3064130101,2365186.86821599,1348422.3818209823
2017-01-05 16:00:00,748940.6973679984,2404803.8065570192,1321980.156242985
2017-01-22 04:50:00,586226.5581299965,1823027.049188004,978637.8997769944
2017-01-22 15:15:00,784613.8011519988,2326070.895141992,1348469.8768819796
2017-01-18 19:25:00,732890.5221610122,2383471.810794985,1313393.6924950017
2017-01-24 20:05:00,739956.828147003,2303708.609616003,1300197.3064889829
2017-01-19 22:35:00,674184.7525789888,2104054.438110026,1141752.7359339793
2017-01-13 11:20:00,694210.6902680082,2150404.468035012,1177441.0837929875
2017-01-14 17:50:00,760253.630178008,2324026.542892965,1311929.1055079815
2017-01-09 06:00:00,683216.1194840006,2053241.4402290247,1118096.4699030058
2017-01-01 06:05:00,629281.7170079928,2021176.4573899829,1067369.4616240195
2017-01-27 22:20:00,736898.8189019909,2259491.614535002,1281003.6041269978
2017-01-09 11:00:00,697002.923763996,2167616.0302909967,1174067.9122129856
2017-01-20 09:55:00,679765.8296749925,2096213.0287090468,1151323.6021959963
2017-01-09 19:00:00,759193.4222639967,2337920.109666019,1313656.4097480054
2017-01-07 02:50:00,641188.4132490068,1962564.137419984,1056402.3821589951
2017-01-25 22:15:00,741978.9773909891,2294611.7846659403,1272883.958133987
2017-01-02 15:00:00,738181.417399007,2412298.0222130083,1321252.5295909736
2017-01-15 05:00:00,634129.4593650015,1897042.890509999,1051980.662415998
2017-01-16 11:20:00,736347.3875539837,2259017.4382270053,1266908.8200549742
2017-01-02 17:10:00,757574.8232600149,2476470.001109028,1355300.6492119909
2017-01-18 02:25:00,615962.9896519944,2010257.212678971,1058310.5593329857
2017-01-09 22:35:00,691186.9214739854,2203204.215572996,1180647.7978610073
2017-01-13 15:25:00,716518.3547459906,2371785.536529998,1289834.916835994
2017-01-06 03:10:00,636650.1184509986,1987525.050484992,1064063.1828249963
2017-01-20 06:55:00,652846.3783669991,1981375.8774659731,1088527.5362269855
2017-01-28 12:40:00,745666.725054,2292297.5727279857,1299409.7960010136
2017-01-11 00:10:00,665608.9248779882,2077226.4284849863,1111813.996491986
2017-01-01 17:05:00,742052.5725290085,2395642.3707879926,1318068.0339499929
2017-01-27 20:50:00,772027.0940349939,2465038.491367049,1381532.3916229922
2017-01-18 20:35:00,709701.2577510156,2245484.4391319733,1250350.2190870186
2017-01-11 23:45:00,674232.605864009,2054060.2240369872,1120861.7454580064
2017-01-28 17:45:00,839497.7426429833,2500935.8191140112,1441395.7822350054
2017-01-21 16:20:00,725650.537111987,2324641.984139977,1294407.314635013
2017-01-19 20:45:00,713828.541120991,2233275.6360099977,1251544.3759770205
2017-01-14 00:15:00,674069.873979996,2082403.5086069768,1142053.53170799
2017-01-18 21:20:00,683550.0159899954,2149731.390024017,1185129.3639260102
2017-01-24 15:20:00,754405.2778900051,2269070.219028016,1284067.0838169686
2017-01-08 10:55:00,725413.8771010125,2248509.071057992,1252408.4801449913
2017-01-13 07:10:00,688334.6816700108,2026299.252162996,1127607.9031979942
2017-01-14 07:30:00,659395.456772994,2012725.1252590085,1114362.9526429917
2017-01-27 12:50:00,737634.5318960011,2242764.105953996,1265617.8924370008
2017-01-03 06:05:00,660522.8353110028,2091768.2523769808,1114093.236018016
2017-01-24 05:55:00,667369.980437001,2054720.3680600128,1127955.0246689937
2017-01-28 09:20:00,706312.1120229942,2202293.2014320293,1226157.244361993
2017-01-14 18:30:00,754467.1049539986,2329443.207197975,1313881.459280012
2017-01-30 21:05:00,765942.101132004,2338561.061507016,1307677.749416954
2017-01-28 03:00:00,667633.404038992,2082152.5742159928,1138484.1376360103
2017-01-26 06:00:00,714075.0655509866,2104483.0908900057,1177664.44685999
2017-01-22 12:50:00,738703.0943609923,2241120.337043015,1291841.4243989885
2017-01-29 12:30:00,755716.9603889977,2346638.5101410183,1324733.567103997
2017-01-20 21:10:00,758832.0347640105,2392233.907992973,1349358.400077035
2017-01-26 16:30:00,912741.2998409856,2632884.312783979,1544077.3428530118
2017-01-17 03:50:00,630085.566626004,1932881.427346012,1049277.8493880087
2017-01-22 02:50:00,603902.3460279995,1925472.755980992,1020959.7041590016
2017-01-30 14:45:00,780696.3313250021,2385142.2469529808,1347049.0341729894
2017-01-17 09:15:00,711529.1498379972,2109424.444688024,1165353.8655599973
2017-01-08 19:20:00,775168.3602059869,2325713.6940059885,1324098.3204239905
2017-01-19 15:00:00,717454.8182749833,2236547.9828529917,1254880.1582610146
2017-01-26 06:30:00,711750.4489600088,2095271.8715710137,1175847.8417890084
2017-01-01 04:35:00,637047.5510380064,2050516.2243519616,1086500.9631650045
2017-01-25 22:25:00,746791.2090800005,2294851.4927259744,1277507.3085370022
2017-01-25 18:50:00,803351.5594879944,2460273.708739966,1403568.34214001
2017-01-24 01:30:00,636993.0432269953,1945492.604411999,1058955.1144999943
2017-01-19 16:40:00,745224.7035150067,2341756.4935240257,1315455.4371330084
2017-01-02 04:40:00,621314.997836991,2056736.0884509943,1070264.765514004
2017-01-30 04:35:00,711050.759462,2102933.59450099,1163980.9943869542
2017-01-14 03:50:00,618401.3349690025,1875723.4960100085,1020987.4440120044
2017-01-23 20:50:00,704026.2700429973,2297736.2844889625,1237873.0689599914
2017-01-20 01:55:00,629898.4313590057,1946254.876173986,1059232.620240994
2017-01-11 06:50:00,693945.8236469981,2062496.164927009,1128873.7479310094
2017-01-21 09:40:00,676853.9430719953,2156450.305774014,1197230.309770012
2017-01-06 05:00:00,661759.0020460075,2010246.8020459823,1091817.7058420156
2017-01-25 20:25:00,788977.4000650024,2379805.4138280177,1353392.5624019864
2017-01-08 04:00:00,619582.3531040048,1930696.3740690176,1024186.9547559964
2017-01-18 18:10:00,738279.9895459911,2378007.63532299,1325664.5767449748
2017-01-06 19:30:00,762669.5512730085,2361825.786530021,1336833.2234869758
